Ambiente - Parametri:
target_speed: 20
max_iter: 4000
start_buffer: 10
train_freq: 1
save_freq: 50
start_ep: 0
max_dist_from_waypoint: 20

------------------------------------

Modello - Parametri:
num_actions_steer: 13
num_action_throttle: 13
state_dim: (1, 128, 128)
in_channels: 1
INFO:  Found the required file in cache!  Carla/Maps/Nav/Town10HD_Opt.bin
WARNING: cannot parse georeference: ''. Using default values.
WARNING: cannot parse georeference: ''. Using default values.
Episode 170 processed 269 reward -7.0282354166542085 duration 8.906883001327515
Episode 171 processed 184 reward -7.275897948971662 duration 6.0999157428741455
Episode 172 processed 146 reward -42.32740157332159 duration 4.842949867248535
Episode 173 processed 272 reward -38.682484879210946 duration 9.003368616104126
Episode 174 processed 211 reward -21.225152967297753 duration 6.993983030319214
Episode 175 processed 289 reward -41.23219995701859 duration 9.562939167022705
Episode 176 processed 248 reward -40.97618519873779 duration 8.211011171340942
Episode 177 processed 191 reward -41.79883875564685 duration 6.329988718032837
Episode 178 processed 212 reward -38.30675466710134 duration 7.025371313095093
Episode 179 processed 186 reward -28.938796495228935 duration 6.162103891372681
Episode 180 processed 266 reward -26.643509395842734 duration 8.807536602020264
Episode 181 processed 221 reward -36.478431007998566 duration 7.320927619934082
Episode 182 processed 192 reward -38.22524671835903 duration 6.361443996429443
Episode 183 processed 340 reward -50.10910784477785 duration 11.251737117767334
Episode 184 processed 372 reward -9.089549999946053 duration 12.299173355102539
Episode 185 processed 202 reward -51.14913034728707 duration 6.686662673950195
Episode 186 processed 233 reward -34.27745656332792 duration 7.7167439460754395
Episode 187 processed 215 reward -43.24663064116343 duration 7.122795343399048
Episode 188 processed 237 reward -32.58996498941346 duration 7.849786758422852
