episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed,throttle_diff
105,-4.962933668037734,"Location(x=-109.554848, y=-46.568665, z=0.000863)","Location(x=-110.487854, y=-46.512875, z=0.000000)",3.7210440635681152,112,0,0,11.41221561303344,11.773840249981731,22.16890590487299,-0.03825049002965286
106,-5.375880328902682,"Location(x=-112.926414, y=-58.858444, z=0.001132)","Location(x=-112.025986, y=-58.951271, z=0.000000)",3.5708866119384766,103,0,0,10.785894802778833,10.233490698970854,21.66169101681594,0.4166666666666667
107,-5.481199896753141,"Location(x=-109.183632, y=-25.574238, z=0.001192)","Location(x=-110.210304, y=-25.613886, z=0.000000)",7.585953950881958,229,0,0,15.472478673012274,32.71503572165966,21.981354095036096,0.4166666666666667
108,-5.7206199660656525,"Location(x=-108.995644, y=-38.612782, z=0.001646)","Location(x=-110.141548, y=-38.621162, z=0.000000)",5.1712682247161865,156,0,0,13.706294789347272,19.70717227179557,22.74409473256408,0.55
109,-5.3755899497481545,"Location(x=-109.583603, y=-46.375103, z=0.000997)","Location(x=-110.473495, y=-46.324741, z=0.000000)",3.755150318145752,113,0,0,11.491515552109783,11.959633536171168,21.35407462531665,0.4166666666666667
110,-4.7892845605389445,"Location(x=-109.306572, y=-43.621063, z=0.000818)","Location(x=-110.299339, y=-43.604477, z=0.000000)",4.246426105499268,128,0,0,12.447779146807338,14.706986520439386,21.139057497632777,-0.25
111,-4.768845584790163,"Location(x=-109.225708, y=-29.311529, z=0.001749)","Location(x=-110.182671, y=-29.350760, z=0.000000)",6.86125636100769,207,0,0,15.159514697301363,28.962152765132487,20.48833149436246,-0.25
112,-4.992466553456632,"Location(x=-112.848671, y=-58.182991, z=0.000891)","Location(x=-111.928642, y=-58.260166, z=0.000000)",3.5171401500701904,106,0,0,11.176986207423331,10.90801247768104,22.669172546389884,0.01666666666666672
113,-5.577565752083927,"Location(x=-112.593414, y=-56.115738, z=0.000825)","Location(x=-111.628380, y=-56.249241, z=0.000000)",3.951913595199585,119,0,0,11.825388060840847,12.970346107613295,21.318202138526114,0.55
114,-5.4670461419929035,"Location(x=-109.447212, y=-44.952175, z=0.000535)","Location(x=-110.375793, y=-44.920170, z=0.000000)",4.052841663360596,122,0,0,11.884026346970687,13.37305191392079,22.01101319492221,0.48333333333333334
115,-5.351000121548274,"Location(x=-109.102371, y=-37.438686, z=0.001486)","Location(x=-110.133972, y=-37.460751, z=0.000000)",5.370785713195801,162,0,0,13.952565563208926,20.84630787372589,21.024004969532278,0.2833333333333333
