episode,speed,total_reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed
32,25.380461650629794,-6812.074366571916,"Location(x=0.628390, y=228.299118, z=0.321724)","Location(x=-3.445038, y=228.305328, z=0.000000)",8.467568635940552,242,1,4,19.26285631717844
33,26.636206959800923,-6824.6034557315525,"Location(x=112.232635, y=100.217331, z=0.265665)","Location(x=112.234932, y=105.432930, z=0.000000)",8.450334787368774,244,1,4,17.78064282565677
34,27.847111330168804,-6918.3514112422645,"Location(x=139.851135, y=232.085724, z=0.264195)","Location(x=136.116714, y=232.358444, z=0.000000)",8.719238996505737,244,1,4,16.502277633196524
35,29.88755442216201,-7056.9843771506485,"Location(x=198.127884, y=235.258270, z=0.330890)","Location(x=193.696503, y=235.259277, z=0.000000)",16.28253936767578,455,1,8,22.491377384263316
36,29.68118747740808,-6943.147640442335,"Location(x=196.225815, y=217.563263, z=0.273709)","Location(x=193.692505, y=217.563843, z=0.000000)",8.69060468673706,245,1,2,21.765199279069016
37,18.102750620060004,-6868.684095944828,"Location(x=45.035000, y=104.552879, z=0.232559)","Location(x=45.028076, y=105.404755, z=0.000000)",3.7281439304351807,107,1,1,10.836865182648522
38,22.725714635897443,-7115.21006756811,"Location(x=0.516658, y=256.039642, z=0.322896)","Location(x=-3.431386, y=256.043030, z=0.000000)",7.769068479537964,222,1,9,18.445991319805206
39,33.10584385781809,-7558.902492500715,"Location(x=184.962433, y=105.720993, z=0.222869)","Location(x=184.767593, y=105.845749, z=0.000000)",12.889711618423462,368,1,17,19.556740037137672
40,18.17091725225059,-7836.163017194504,"Location(x=-12.127077, y=258.099121, z=0.318877)","Location(x=-7.428128, y=258.097809, z=0.000000)",7.922674179077148,228,1,9,15.078781836172285
41,35.11277263010584,-8541.402340069111,"Location(x=201.375229, y=209.674957, z=0.301722)","Location(x=193.690720, y=209.676697, z=0.000000)",14.639195442199707,411,1,6,23.61312789152818
42,21.929930935404986,-8998.292425753407,"Location(x=208.641129, y=191.927399, z=0.301851)","Location(x=193.686707, y=191.930786, z=0.000000)",9.286872148513794,265,1,0,17.143551036630218
43,29.39020491946845,-9131.750003561669,"Location(x=39.431961, y=310.818634, z=0.327744)","Location(x=39.430023, y=306.536255, z=0.000000)",10.757775783538818,310,1,6,17.69500698902444
44,26.95194893325805,-10217.063103552046,"Location(x=206.052124, y=202.831604, z=0.301861)","Location(x=193.689163, y=202.834396, z=0.000000)",15.082812547683716,420,1,9,21.652919633775024
45,26.695885212419054,-10419.812835813404,"Location(x=37.055847, y=262.709167, z=0.326013)","Location(x=41.856361, y=262.708771, z=0.000000)",10.792442560195923,309,1,2,20.758366612961204
46,24.675155965419485,-10552.664361994473,"Location(x=137.219727, y=176.784912, z=0.479178)","Location(x=137.214767, y=187.615143, z=0.000000)",10.622769355773926,305,1,0,17.58282981411332
47,30.711392526067222,-11532.302327459764,"Location(x=5.954441, y=85.575890, z=0.001867)","Location(x=5.982591, y=105.545715, z=0.000000)",14.010990142822266,407,0,21,23.500695617710846
48,29.817692352572262,-11784.49867307114,"Location(x=98.272614, y=310.949280, z=0.325145)","Location(x=98.272873, y=306.546844, z=0.000000)",8.373202323913574,239,1,11,17.75469252989182
49,21.625166509902567,-11896.236625563895,"Location(x=111.907898, y=245.924957, z=0.323464)","Location(x=111.910942, y=240.911514, z=0.000000)",9.194080829620361,258,1,4,17.503637770322612
50,35.518349475605305,-12887.378552162683,"Location(x=77.406784, y=129.392151, z=0.001926)","Location(x=77.374008, y=109.409218, z=0.000000)",16.566171884536743,476,0,16,23.568123939503046
51,28.614822165761307,-121.84521165362713,"Location(x=135.233917, y=176.810776, z=0.478529)","Location(x=135.228973, y=187.614227, z=0.000000)",9.323569297790527,265,1,0,15.824361314255338
52,28.446758708149968,-89.15459169287757,"Location(x=-10.476530, y=192.384689, z=0.270040)","Location(x=-7.453149, y=192.384003, z=0.000000)",8.765632390975952,248,1,2,17.016346617088928
53,30.893179615567927,-409.04181025166685,"Location(x=59.736229, y=199.236481, z=0.259416)","Location(x=59.739738, y=191.579620, z=0.000000)",9.120570421218872,260,1,8,19.72023615316897
54,27.650625423744298,-858.8653737169146,"Location(x=200.421005, y=307.818237, z=0.305754)","Location(x=191.651276, y=301.150604, z=0.000000)",9.336092710494995,268,1,8,17.617503090232137
55,32.24738697863241,-1515.772622340106,"Location(x=-2.564138, y=86.611046, z=0.001805)","Location(x=1.925334, y=105.883316, z=0.000000)",10.399243116378784,300,0,11,20.1928968223794
56,34.973890384641926,-1828.517098577399,"Location(x=38.162739, y=244.456299, z=0.296489)","Location(x=41.854778, y=244.455978, z=0.000000)",10.141696453094482,292,1,6,19.016759142485462
57,31.317537053818846,-2452.8497150796165,"Location(x=159.572021, y=292.930145, z=0.282284)","Location(x=159.575897, y=302.529205, z=0.000000)",14.23255205154419,402,1,17,24.6849198411155
58,30.459718176559694,-2503.703623453573,"Location(x=186.255432, y=105.811501, z=0.221855)","Location(x=185.929306, y=106.222450, z=0.000000)",18.249231576919556,523,1,21,23.540994999534124
59,40.38750449087195,-3082.8504361047626,"Location(x=123.233276, y=292.486908, z=0.321654)","Location(x=123.240776, y=302.555298, z=0.000000)",9.781423807144165,275,1,10,21.320834412537653
60,20.18554168535893,-3060.01938191412,"Location(x=-11.311876, y=187.803299, z=0.299775)","Location(x=-7.454184, y=187.802429, z=0.000000)",8.396730184555054,240,1,2,17.723398657696233
61,31.327993211309288,-3383.079026838283,"Location(x=5.837325, y=195.252792, z=0.289542)","Location(x=5.839019, y=191.554916, z=0.000000)",10.718871355056763,301,1,17,19.88255392101824
62,27.457806509786852,-3371.8409882736537,"Location(x=187.242737, y=251.622559, z=0.288497)","Location(x=189.699371, y=251.622284, z=0.000000)",16.02823805809021,451,1,12,21.998344257610547
63,32.312641850446866,-3457.402976370195,"Location(x=123.900482, y=193.427277, z=0.248461)","Location(x=123.904190, y=191.609039, z=0.000000)",11.246271133422852,317,1,3,20.216443317298065
64,32.43579442974348,-4074.173059026605,"Location(x=4.211200, y=85.699005, z=0.001766)","Location(x=4.792330, y=105.550011, z=0.000000)",14.6514732837677,405,0,12,19.83124379216811
65,33.365675166603154,-4092.0809381701993,"Location(x=145.125732, y=235.844177, z=0.246566)","Location(x=145.125076, y=236.931686, z=0.000000)",8.367317914962769,232,1,3,19.404342924808525
66,28.83806231118786,-4997.071392233456,"Location(x=154.504013, y=119.601768, z=0.001930)","Location(x=154.505569, y=109.438332, z=0.000000)",20.461366176605225,555,1,16,26.409224179197643
67,33.14297214774666,-5038.766603842799,"Location(x=48.853767, y=181.639664, z=0.175108)","Location(x=48.851044, y=187.574631, z=0.000000)",12.849576711654663,364,1,8,20.863624431203306
68,27.92924006401512,-4975.603239879959,"Location(x=196.397049, y=171.722168, z=0.273337)","Location(x=193.682129, y=171.719772, z=0.000000)",12.065394401550293,339,1,0,15.157017571861799
69,29.501770962413666,-5440.182466151823,"Location(x=115.675232, y=230.787430, z=0.274715)","Location(x=115.671516, y=236.913803, z=0.000000)",12.094970703125,331,1,8,18.739854321430716
70,25.349001209101722,-5516.361483478477,"Location(x=97.478035, y=245.079178, z=0.325009)","Location(x=97.480568, y=240.902756, z=0.000000)",8.761630535125732,242,1,4,17.132623857795338
71,24.904325919716516,-5434.542952743151,"Location(x=0.817131, y=232.714371, z=0.324859)","Location(x=-3.444041, y=232.720749, z=0.000000)",13.442721843719482,383,1,4,15.87285256052162
72,29.634236147466154,-6810.048685991131,"Location(x=-9.248266, y=88.773926, z=0.001798)","Location(x=-0.914780, y=106.904175, z=0.000000)",12.352795839309692,354,0,9,22.010593264592824
73,24.420484117365206,-6869.261233051258,"Location(x=72.408508, y=182.684647, z=0.321912)","Location(x=72.406250, y=187.585434, z=0.000000)",8.042260885238647,227,1,4,15.708061726583665
74,30.2660054086605,-6925.457809957166,"Location(x=184.655930, y=216.985291, z=0.325375)","Location(x=189.692368, y=216.984146, z=0.000000)",13.066469430923462,363,1,2,22.4836710180811
75,26.840729929289918,-7302.454546629503,"Location(x=3.608751, y=195.178299, z=0.292424)","Location(x=3.610411, y=191.553894, z=0.000000)",10.875561237335205,307,1,13,19.204699444410256
76,24.339005887750837,-7781.333739019339,"Location(x=37.464565, y=215.229294, z=0.325753)","Location(x=41.852242, y=215.228912, z=0.000000)",14.27640438079834,403,1,6,20.699694336452932
77,30.150977278328785,-8141.9828203029265,"Location(x=98.640991, y=244.676834, z=0.328839)","Location(x=98.643288, y=240.903458, z=0.000000)",13.239169836044312,373,1,7,22.217552348605558
78,34.93453891858952,-9143.472085585687,"Location(x=141.808411, y=292.586548, z=0.321704)","Location(x=141.812439, y=302.553589, z=0.000000)",15.19879150390625,424,1,8,21.43186730033012
